price,type,subtype,region,province,district,postalCode,latitude,longitude,bedroomCount,netHabitableSurface,condition,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,parkingCountIndoor,heatingType,hasDoubleGlazing,saleType
189000,HOUSE,HOUSE,Wallonie,Hainaut,Charleroi,6030,50.403435,4.3933911,5,190.0,NO_INFO,0,INSTALLED,1,200.0,1,30.0,0,0,0,1.0,0,0.0,GAS,1,normalSale
649000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8301,51.3356662,3.2397295,4,157.0,AS_NEW,0,SUPER_EQUIPPED,0,0.0,0,0.0,0,0,0,2.0,0,0.0,GAS,0,normalSale
249000,HOUSE,HOUSE,Flanders,West Flanders,Ieper,8978,50.816118,2.6776886,3,138.0,GOOD,0,NO_INFO,0,0.0,0,0.0,0,0,0,1.0,0,0.0,GAS,1,normalSale
116000,HOUSE,CHALET,Flanders,West Flanders,Brugge,8301,51.3323438,3.2361976,2,55.0,NO_INFO,0,SUPER_EQUIPPED,0,0.0,0,0.0,0,0,0,1.0,0,0.0,GAS,0,normalSale
1468000,HOUSE,VILLA,Flanders,Antwerp,Antwerp,2070,51.2178403,4.316095,5,585.0,AS_NEW,0,SUPER_EQUIPPED,0,0.0,0,0.0,0,1,0,2.0,0,2.0,GAS,1,normalSale
999000,HOUSE,MANSION,Flanders,Antwerp,Antwerp,2000,51.2176173,4.4126203,6,455.0,GOOD,0,SUPER_EQUIPPED,1,160.0,0,0.0,0,0,0,2.0,0,0.0,GAS,1,normalSale
1365000,HOUSE,MANSION,Flanders,Antwerp,Antwerp,2018,51.1974593,4.4032176,4,330.0,TO_BE_DONE_UP,0,INSTALLED,0,0.0,0,0.0,0,0,0,2.0,0,0.0,NO_INFO,1,normalSale
995000,HOUSE,MANSION,Flanders,Antwerp,Antwerp,2018,51.2102336,4.411159,6,350.0,GOOD,0,SUPER_EQUIPPED,0,0.0,1,33.0,0,0,0,3.0,0,0.0,GAS,1,normalSale
950000,HOUSE,MANSION,Flanders,Antwerp,Antwerp,2600,51.2022262,4.4336531,5,370.0,TO_BE_DONE_UP,0,SUPER_EQUIPPED,1,130.0,0,0.0,0,0,0,2.0,0,0.0,GAS,1,normalSale
265000,HOUSE,HOUSE,Wallonie,Hainaut,Soignies,7070,50.5024246,4.1085493,5,224.0,JUST_RENOVATED,0,NO_INFO,0,0.0,1,5.0,0,0,0,1.0,1,0.0,GAS,1,normalSale
499000,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2870,51.0446394,4.3300711,3,198.0,GOOD,0,NO_INFO,0,0.0,1,0.0,0,1,0,1.0,0,1.0,GAS,1,normalSale
270000,HOUSE,OTHER_PROPERTY,Wallonie,Liège,Liège,4610,50.6260167,5.6412348,4,255.0,TO_RENOVATE,0,INSTALLED,0,0.0,1,0.0,0,0,0,2.0,0,0.0,NO_INFO,0,notarySale
250000,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8790,50.8921573,3.4323233,1,60.0,NO_INFO,0,NO_INFO,0,0.0,1,0.0,0,0,0,1.0,0,1.0,ELECTRIC,1,normalSale
