id,URL,Status,transactionType,transactionSubtype,price,isSubjectToVat,isFurnished,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,latitude,longitude,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,condition,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,epcScore,heatingType,hasDoubleGlazing,saleType,creationDate,lastModificationDate,bookmarkCount,viewCount
10826639,https://www.immoweb.be/en/classified/10826639,200,FOR_SALE,BUY_REGULAR,445000.0,False,,APARTMENT,APARTMENT,Belgium,Wallonie,Liège,Liège,Liège,4000,Avenue Rogier,7A, 061,6.0,50.6347539,5.5696241,5.0,300.0,1963.0,,10.0,TO_BE_DONE_UP,True,SEMI_EQUIPPED,,,,,,True,,,2.0,1.0,3.0,1.0,,225.0,C,GAS,True,,2023-09-18T13:09:58.000+0000,2023-09-18T13:14:06.007+0000,,
10826633,https://www.immoweb.be/en/classified/10826633,200,FOR_SALE,BUY_REGULAR,120000.0,False,,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Mons,Colfontaine,7340,Rue Sans Coron,61,,,50.4172829,3.8567266,2.0,,,3.0,,TO_BE_DONE_UP,False,INSTALLED,True,250.0,,,345.0,False,False,False,1.0,0.0,1.0,,,,G,GAS,True,,2023-09-18T13:08:00.000+0000,2023-09-18T13:21:15.057+0000,,
10826645,https://www.immoweb.be/en/classified/10826645,200,FOR_SALE,BUY_REGULAR,495000.0,False,,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Soignies,Le Roeulx,7070,,,,,,,5.0,260.0,,2.0,,,,,,,,,0.0,True,,,2.0,0.0,3.0,1.0,,135.0,B,,True,,2023-09-18T13:12:20.000+0000,2023-09-18T13:12:21.683+0000,,
10826643,https://www.immoweb.be/en/classified/10826643,200,FOR_SALE,BUY_REGULAR,179000.0,False,,APARTMENT,FLAT_STUDIO,Belgium,Brussels,Brussels,Brussels,MOLENBEEK-SAINT-JEAN,1080,,,,0.0,,,0.0,65.0,,,,TO_BE_DONE_UP,,SEMI_EQUIPPED,,,,,,True,,,,0.0,,,,681.0,G,,,,2023-09-18T13:11:52.000+0000,2023-09-18T13:11:53.307+0000,,
10826624,https://www.immoweb.be/en/classified/10826624,200,FOR_SALE,BUY_REGULAR,217000.0,False,,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Diksmuide,Diksmuide,8600,Oudekapellesteenweg,23,,,51.0159532,2.7651246,2.0,133.0,,3.0,,,,,,,,,196.0,False,,,,0.0,1.0,,,314.0,D,,True,,2023-09-18T13:04:14.000+0000,2023-09-18T13:05:33.080+0000,,
10728203,https://www.immoweb.be/en/classified/10728203,200,FOR_SALE,BUY_REGULAR,145000.0,False,False,APARTMENT,APARTMENT,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,Wolvertem,1861,,,,1.0,,,1.0,,1965.0,,2.0,,False,SEMI_EQUIPPED,,,,,,False,False,False,1.0,0.0,1.0,1.0,,294.0,C,GAS,False,,2023-08-01T07:39:12.133+0000,2023-09-18T13:27:53.547+0000,4.0,390.0
10694150,https://www.immoweb.be/en/classified/10694150,200,FOR_SALE,BUY_REGULAR,325000.0,False,,HOUSE,HOUSE,Belgium,Wallonie,Walloon Brabant,Nivelles,Jodoigne,1370,Place Saint-Lambert,28,,,50.7242088,4.8656197,3.0,160.0,1764.0,2.0,,TO_BE_DONE_UP,,SEMI_EQUIPPED,True,,True,14.0,411.0,True,,,1.0,0.0,2.0,,,306.0,D,FUELOIL,True,,2023-07-12T13:01:39.000+0000,2023-09-18T13:19:06.677+0000,24.0,1910.0
10826628,https://www.immoweb.be/en/classified/10826628,200,FOR_SALE,BUY_REGULAR,100000.0,False,,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Mons,Colfontaine,7340,Rue Sans Coron,63,,,50.4172814,3.8567258,2.0,,,2.0,,TO_RENOVATE,False,,True,240.0,,,320.0,False,False,False,,0.0,1.0,,,,G,,True,,2023-09-18T13:04:50.000+0000,2023-09-18T13:21:14.773+0000,,
10826636,https://www.immoweb.be/en/classified/10826636,200,FOR_SALE,BUY_REGULAR,275000.0,False,False,APARTMENT,APARTMENT,Belgium,Flanders,West Flanders,Oostend,Wenduine,8420,Kerkstraat,38,502,5.0,51.3000948,3.0807882,1.0,70.0,2001.0,2.0,,,True,,,,True,,,False,False,,1.0,0.0,,,,257.0,C,ELECTRIC,True,,2023-09-18T13:08:31.867+0000,2023-09-18T13:35:09.240+0000,,
10826505,https://www.immoweb.be/en/classified/10826505,200,FOR_SALE,BUY_REGULAR,,True,,APARTMENT_GROUP,APARTMENT_GROUP,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,Merchtem,1785,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,newlyBuilt,2023-09-18T12:36:32.000+0000,2023-09-18T12:36:33.110+0000,,
