id,URL,Status,transactionType,transactionSubtype,price,isSubjectToVat,isFurnished,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,latitude,longitude,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,condition,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,epcScore,heatingType,hasDoubleGlazing,saleType,creationDate,lastModificationDate,bookmarkCount,viewCount
10826769,https://www.immoweb.be/en/classified/10826769,200,FOR_SALE,BUY_REGULAR,170000,False,,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Uccle,1180,Rue Beeckman - Beeckmanstraat,24,G2,2.0,50.8066451,4.335115,1,,,,,,True,INSTALLED,,,True,7.0,,False,False,False,1.0,0,1.0,,,,,,True,,2023-09-18T14:00:14.000+0000,2023-09-18T14:01:15.987+0000,,
10826763,https://www.immoweb.be/en/classified/10826763,200,FOR_SALE,BUY_REGULAR,695000,False,False,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,Dilbeek,1700,Tulpenlaan,30,,,50.8618128,4.2526822,4,185.0,1981.0,4.0,,GOOD,False,INSTALLED,True,660.0,True,19.0,750.0,False,False,,1.0,1,1.0,1.0,3.0,335.0,D,GAS,,,2023-09-18T13:59:08.000+0000,2023-09-18T14:03:53.077+0000,,
10826771,https://www.immoweb.be/en/classified/10826771,200,FOR_SALE,BUY_REGULAR,345000,False,False,APARTMENT,GROUND_FLOOR,Belgium,Brussels,Brussels,Brussels,Bruxelles,1050,avenue de l'Université 39,,,0.0,50.8150065,4.3874265,1,82.0,,3.0,5.0,,,INSTALLED,,,True,5.0,,False,,,,1,1.0,,,,,FUELOIL,False,,2023-09-18T14:00:53.000+0000,2023-09-18T14:00:54.603+0000,,
10826762,https://www.immoweb.be/en/classified/10826762,200,FOR_SALE,BUY_REGULAR,530000,False,False,HOUSE,HOUSE,Belgium,Brussels,Brussels,Brussels,Uccle,1180,Avenue de Beersel,119,,,50.7839338,4.3225263,3,140.0,1955.0,2.0,,AS_NEW,False,USA_HYPER_EQUIPPED,True,41.0,True,9.0,123.0,False,False,,2.0,1,3.0,1.0,2.0,191.0,D,GAS,True,,2023-09-18T13:58:37.000+0000,2023-09-18T14:03:47.853+0000,,
10826760,https://www.immoweb.be/en/classified/10826760,200,FOR_SALE,BUY_REGULAR,379000,False,,APARTMENT,APARTMENT,Belgium,Flanders,West Flanders,Kortrijk,Waregem,8790,Henri Lebbestraat,1,3.1,0.0,50.8838776,3.4257021,2,,,,,GOOD,False,,,,,,,False,,False,1.0,0,,,,67.0,A,,False,,2023-09-18T13:58:04.273+0000,2023-09-18T13:58:04.760+0000,,
10826773,https://www.immoweb.be/en/classified/10826773,200,FOR_SALE,BUY_REGULAR,425000,False,,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Bruxelles,1050,Avenue Franklin Roosevelt,143,,0.0,50.7972952,4.3947953,2,,,,,,,INSTALLED,,,True,,,False,,,1.0,0,1.0,1.0,,,,,,notarySale,2023-09-18T14:01:19.000+0000,2023-09-18T14:01:20.163+0000,,
10826770,https://www.immoweb.be/en/classified/10826770,200,FOR_SALE,BUY_REGULAR,174000,False,,APARTMENT,APARTMENT,Belgium,Flanders,West Flanders,Oostend,Gistel,8470,Halve Maanstraat,1,0201,2.0,51.1560198,2.9644222,1,,,,,GOOD,,,,,,,,False,,,1.0,0,1.0,,,99.0,A,GAS,,,2023-09-18T14:00:44.137+0000,2023-09-18T14:00:44.690+0000,,
10826775,https://www.immoweb.be/en/classified/10826775,200,FOR_SALE,PUBLIC_SALE,290000,False,,APARTMENT,APARTMENT,Belgium,Brussels,Brussels,Brussels,Uccle,1180,"Avenue du Lycée Français""",7,,8.0,50.7888494,4.344914,3,,,,,,,INSTALLED,,,True,,,False,,,1.0,0,1.0,1.0,,223.0,E,,,publicSale,2023-09-18T14:01:48.000+0000,2023-09-18T14:01:49.453+0000,,
10826758,https://www.immoweb.be/en/classified/10826758,200,FOR_SALE,BUY_REGULAR,390000,False,,HOUSE,VILLA,Belgium,Wallonie,Hainaut,Charleroi,Charleroi Jumet,6040,,,,,,,6,260.0,,4.0,,AS_NEW,,INSTALLED,True,1500.0,True,50.0,1600.0,False,,,2.0,0,,1.0,6.0,,,GAS,True,,2023-09-18T13:56:38.000+0000,2023-09-18T13:56:39.000+0000,,
10826752,https://www.immoweb.be/en/classified/10826752,200,FOR_SALE,BUY_REGULAR,199000,False,False,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Gent,Olsene,9870,Kerkstraat,6,,,50.9358765,3.4637322,4,174.0,1930.0,3.0,,TO_RENOVATE,False,,,,,,215.0,False,False,,1.0,0,,1.0,,1092.0,F,ELECTRIC,False,,2023-09-18T13:53:30.637+0000,2023-09-18T13:53:31.180+0000,,
