id,URL,Status,transactionType,transactionSubtype,price,isSubjectToVat,isFurnished,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,latitude,longitude,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,condition,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,epcScore,heatingType,hasDoubleGlazing,saleType,creationDate,lastModificationDate,bookmarkCount,viewCount
10667786,https://www.immoweb.be/en/classified/10667786,200,FOR_SALE,BUY_REGULAR,229000.0,False,False,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Charleroi,Fontainel'Evêque Leernes,6142,Rue Caebergs,44,,,50.395174,4.3312503,4.0,248.0,1899.0,3.0,,TO_BE_DONE_UP,False,INSTALLED,,,,,670.0,False,False,,1.0,0.0,2.0,1.0,3.0,367.0,E,GAS,True,,2023-06-29T14:59:13.000+0000,2023-09-21T07:13:09.457+0000,22.0,2952.0
10833942,https://www.immoweb.be/en/classified/10833942,200,FOR_SALE,BUY_REGULAR,349000.0,False,False,APARTMENT,GROUND_FLOOR,Belgium,Brussels,Brussels,Brussels,Woluwe-saint-lambert,1200,Chemin des 2 maisons,61,,0.0,50.8429581,4.4243679,2.0,120.0,2000.0,2.0,5.0,GOOD,True,USA_HYPER_EQUIPPED,True,75.0,True,10.0,,False,False,,1.0,1.0,1.0,,,277.0,F,GAS,True,,2023-09-21T06:34:23.000+0000,2023-09-21T06:39:24.457+0000,,
10833936,https://www.immoweb.be/en/classified/10833936,200,FOR_SALE,BUY_REGULAR,175000.0,False,False,APARTMENT,APARTMENT,Belgium,Wallonie,Liège,Verviers,Verviers,4800,Chaussée de Theux,18,,0.0,50.5813143,5.8658189,2.0,71.0,,2.0,,TO_BE_DONE_UP,True,NOT_INSTALLED,,,True,,,False,False,,1.0,0.0,1.0,1.0,1.0,390.0,E,GAS,True,,2023-09-21T06:33:17.000+0000,2023-09-21T06:33:17.830+0000,,
10833954,https://www.immoweb.be/en/classified/10833954,200,FOR_SALE,BUY_REGULAR,245000.0,False,True,APARTMENT,KOT,Belgium,Flanders,Flemish Brabant,Leuven,Leuven,3000,Kapucijnenvoer,34,0002,0.0,50.8771424,4.6905843,1.0,17.0,,2.0,5.0,AS_NEW,,,,,True,,,False,,,1.0,0.0,,,,,,,,,2023-09-21T06:37:59.000+0000,2023-09-21T06:40:37.227+0000,,
10833928,https://www.immoweb.be/en/classified/10833928,200,FOR_SALE,BUY_REGULAR,89000.0,False,False,APARTMENT,DUPLEX,Belgium,Wallonie,Hainaut,Soignies,Houdeng-Goegnies,7110,,,,0.0,,,3.0,152.0,1900.0,4.0,3.0,TO_RENOVATE,False,NOT_INSTALLED,,,,,,False,False,,1.0,1.0,1.0,1.0,,508.0,F,GAS,True,,2023-09-21T06:32:41.000+0000,2023-09-21T06:32:41.533+0000,,
10833947,https://www.immoweb.be/en/classified/10833947,200,FOR_SALE,BUY_REGULAR,224733.0,False,,APARTMENT,APARTMENT,Belgium,Wallonie,Liège,Liège,Saint-Nicolas,4420,Rue des Ecoles,4,,1.0,50.6417093,5.520907,2.0,67.0,2023.0,2.0,2.0,AS_NEW,True,HYPER_EQUIPPED,,,True,8.0,,False,,,1.0,0.0,1.0,,,,,GAS,True,,2023-09-21T06:37:04.000+0000,2023-09-21T06:37:05.083+0000,,
10833953,https://www.immoweb.be/en/classified/10833953,200,FOR_SALE,BUY_REGULAR,285000.0,False,True,APARTMENT,FLAT_STUDIO,Belgium,Flanders,Flemish Brabant,Leuven,Leuven,3000,Kapucijnenvoer,34,0001,0.0,50.8771424,4.6905843,1.0,35.0,,2.0,5.0,AS_NEW,,,,,True,,,False,,,1.0,0.0,,,,,,,,,2023-09-21T06:37:57.000+0000,2023-09-21T06:40:37.150+0000,,
10833946,https://www.immoweb.be/en/classified/10833946,200,FOR_SALE,BUY_REGULAR,149000.0,False,,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Gent Sint-Amandsberg,9040,Engelstraat,171,,3.0,51.0524575,3.7517001,1.0,46.0,2001.0,2.0,,GOOD,True,USA_INSTALLED,,,,,,False,,,1.0,0.0,1.0,1.0,1.0,180.0,B,GAS,True,,2023-09-21T06:36:40.000+0000,2023-09-21T06:36:40.667+0000,,
10833955,https://www.immoweb.be/en/classified/10833955,200,FOR_SALE,BUY_REGULAR,220000.0,False,True,APARTMENT,KOT,Belgium,Flanders,Flemish Brabant,Leuven,Leuven,3000,Kapucijnenvoer,34,0101,1.0,50.8771424,4.6905843,1.0,14.0,,2.0,5.0,AS_NEW,,,,,,,,False,,,1.0,0.0,,,,,,,,,2023-09-21T06:38:01.000+0000,2023-09-21T06:40:37.540+0000,,
10758928,https://www.immoweb.be/en/classified/10758928,200,FOR_SALE,BUY_REGULAR,649000.0,False,,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Gent,Laethem-Saint-Martin,9830,Brandstraat,75,,,51.0056338,3.6236227,3.0,124.0,1961.0,3.0,,JUST_RENOVATED,False,HYPER_EQUIPPED,True,1.0,,,386.0,False,False,False,1.0,0.0,2.0,1.0,2.0,174.0,B,GAS,True,,2023-08-17T15:58:03.000+0000,2023-09-21T06:58:56.883+0000,31.0,3216.0
