id,URL,Status,transactionType,transactionSubtype,price,isSubjectToVat,isFurnished,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,latitude,longitude,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,condition,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,epcScore,heatingType,hasDoubleGlazing,saleType,creationDate,lastModificationDate,bookmarkCount,viewCount
10834821,https://www.immoweb.be/en/classified/10834821,200,FOR_SALE,BUY_REGULAR,189000,False,False,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Charleroi,Marchienne-au-Pont,6030,rue joseph lefevre,40,,,50.403435,4.3933911,5,190.0,,2.0,,,False,INSTALLED,True,200.0,True,30.0,320.0,False,False,,1.0,0,2.0,,,347.0,E,GAS,True,,2023-09-21T13:47:15.000+0000,2023-09-21T13:47:16.377+0000,,
10834825,https://www.immoweb.be/en/classified/10834825,200,FOR_SALE,BUY_REGULAR,250000,False,False,APARTMENT,APARTMENT,Belgium,Flanders,West Flanders,Kortrijk,Waregem,8790,M. Windelstraat,75,2.2,2.0,50.8921573,3.4323233,1,60.0,,,2.0,,,,,,True,,,False,,,1.0,0,2.0,1.0,,,,ELECTRIC,True,,2023-09-21T13:49:06.000+0000,2023-09-21T13:49:06.790+0000,,
10834819,https://www.immoweb.be/en/classified/10834819,200,FOR_SALE,BUY_REGULAR,649000,False,False,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Brugge,Knokke-Heist,8301,Bondgenotenlaan,45,,,51.3356662,3.2397295,4,157.0,1955.0,2.0,,AS_NEW,False,HYPER_EQUIPPED,,,,,94.0,False,False,,2.0,0,,,,133.0,B,GAS,False,,2023-09-21T13:45:44.663+0000,2023-09-21T13:45:45.170+0000,,
10612100,https://www.immoweb.be/en/classified/10612100,200,FOR_SALE,BUY_REGULAR,285000,False,,HOUSE,HOUSE,Belgium,Wallonie,Namur,Dinant,Louette-St-Denis,5575,,,,,,,4,160.0,,3.0,,,,,,,True,,1300.0,False,,,1.0,0,2.0,1.0,,470.0,F,FUELOIL,True,,2023-06-05T15:21:41.000+0000,2023-09-21T13:28:57.603+0000,16.0,2118.0
10834723,https://www.immoweb.be/en/classified/10834723,200,FOR_SALE,BUY_REGULAR,498000,False,,APARTMENT,FLAT_STUDIO,Belgium,Flanders,Antwerp,Antwerp,Antwerp,2020,Jan van rijswijcklaan,282, 001,1.0,51.1854592,4.3913391,2,125.0,1937.0,2.0,4.0,GOOD,True,INSTALLED,True,44.0,True,20.0,,True,,,1.0,0,,,,188.0,B,GAS,True,,2023-09-21T13:09:24.000+0000,2023-09-21T13:15:05.053+0000,,
10834822,https://www.immoweb.be/en/classified/10834822,200,FOR_SALE,BUY_REGULAR,235000,False,,HOUSE,HOUSE,Belgium,Flanders,Flemish Brabant,Leuven,ZICHEM,3271,Pater Richard van de Wouwerstraat,29,,,51.0013621,4.98359,3,,1965.0,2.0,,GOOD,,SEMI_EQUIPPED,,,,,210.0,True,,,1.0,0,2.0,1.0,,538.0,F,FUELOIL,False,,2023-09-21T13:48:41.000+0000,2023-09-21T13:48:42.067+0000,,
10834827,https://www.immoweb.be/en/classified/10834827,200,FOR_SALE,BUY_REGULAR,170000,False,False,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Charleroi,Manage,7170,Rue de Binche,21,,,,,5,165.0,,,,,False,,,,,,0.0,False,False,,1.0,0,,,,406.0,E,GAS,True,,2023-09-21T13:50:04.000+0000,2023-09-21T13:50:04.633+0000,,
10834719,https://www.immoweb.be/en/classified/10834719,200,FOR_SALE,BUY_REGULAR,319000,False,,APARTMENT,DUPLEX,Belgium,Wallonie,Namur,Namur,SEILLES,5300,Rue de Belle-Vue,"2, A",,2.0,50.4989148,5.1022089,3,140.0,2014.0,,,AS_NEW,,HYPER_EQUIPPED,,,True,,,True,,,1.0,1,2.0,,3.0,89.0,B,GAS,True,,2023-09-21T13:08:15.000+0000,2023-09-21T13:08:15.793+0000,,
10834575,https://www.immoweb.be/en/classified/10834575,200,FOR_SALE,BUY_REGULAR,260000,False,False,APARTMENT,DUPLEX,Belgium,Flanders,West Flanders,Tielt,Meulebeke,8760,Hoogstraat,11,0002,1.0,50.9505698,3.2891178,2,100.0,,3.0,2.0,GOOD,False,,,,True,9.0,,False,False,,1.0,0,,1.0,,262.0,C,GAS,True,,2023-09-21T12:00:59.157+0000,2023-09-21T13:14:22.237+0000,,
10834823,https://www.immoweb.be/en/classified/10834823,200,FOR_SALE,BUY_REGULAR,335000,False,,APARTMENT,APARTMENT,Belgium,Flanders,Flemish Brabant,Leuven,Begijnendijk,3130,Liersesteenweg,185, 13,0.0,51.0202349,4.7929154,3,143.0,2010.0,2.0,,GOOD,,INSTALLED,,,True,20.0,,True,,,1.0,0,2.0,1.0,,139.0,B,GAS,True,,2023-09-21T13:48:51.000+0000,2023-09-21T13:48:52.107+0000,,
